budget,id,runtime,vote_average,vote_count
30000000,862,81.0,7.7,5415
65000000,8844,104.0,6.9,2413
0,15602,101.0,6.5,92
16000000,31357,127.0,6.1,34
0,11862,106.0,5.7,173
60000000,949,170.0,7.7,1886
58000000,11860,127.0,6.2,141
0,45325,97.0,5.4,45
35000000,9091,106.0,5.5,174
58000000,710,130.0,6.6,1194
62000000,9087,106.0,6.5,199
0,12110,88.0,5.7,210
0,21032,78.0,7.1,423
44000000,10858,192.0,7.1,72
98000000,1408,119.0,5.7,137
52000000,524,178.0,7.8,1343
16500000,4584,136.0,7.2,364
4000000,5,98.0,6.5,539
30000000,9273,90.0,6.1,1128
60000000,11517,103.0,5.4,224
30250000,8012,105.0,6.4,305
0,1710,124.0,6.5,199
50000000,9691,132.0,6.0,394
0,12665,111.0,6.3,143
3600000,451,112.0,7.1,365
0,16420,123.0,7.0,33
12000000,9263,100.0,6.6,91
0,17015,104.0,7.4,36
18000000,902,108.0,7.6,308
0,37557,108.0,6.5,17
0,9909,99.0,6.4,249
29500000,63,129.0,7.4,2470
0,78802,50.0,6.8,4
30000000,9598,89.0,6.0,756
0,47018,121.0,6.4,16
11000000,687,122.0,7.3,350
0,139405,51.0,3.5,2
0,33689,101.0,6.1,149
12000000,9603,97.0,6.9,828
0,34615,106.0,6.7,13
0,31174,104.0,6.9,50
10000000,11443,119.0,6.6,80
19000000,35196,117.0,6.3,30
18000000,9312,101.0,5.4,452
20000000,577,106.0,6.7,177
10000000,11861,116.0,6.5,38
33000000,807,127.0,8.1,5915
55000000,10530,81.0,6.7,1509
0,8391,96.0,5.9,10
6000000,629,106.0,8.1,3334
0,117164,93.0,6.3,3
15000000,11448,95.0,6.7,145
0,49133,116.0,7.7,11
0,26441,100.0,5.2,41
0,97406,115.0,6.1,15
0,124057,89.0,3.0,1
0,9089,103.0,6.3,39
0,11010,108.0,7.6,181
0,99040,100.0,6.5,2
45000000,11359,96.0,5.9,136
20000000,17182,101.0,5.8,65
0,2054,137.0,6.9,115
0,10607,89.0,6.2,192
0,19760,96.0,4.5,14
15000000,9536,88.0,4.4,110
0,11525,92.0,2.8,32
0,40628,85.0,5.4,11
0,4482,95.0,6.0,43
3500000,10634,91.0,7.0,513
19000000,755,108.0,6.9,1644
50000000,11859,91.0,4.1,54
0,28387,96.0,7.0,36
0,48750,175.0,6.6,8
0,20927,87.0,5.1,27
15000000,36929,90.0,3.9,16
20000000,9102,108.0,6.1,154
0,124626,70.0,7.3,3
0,27526,111.0,6.1,74
44000000,9623,118.0,5.5,91
0,46785,85.0,7.5,20
8000000,400,116.0,6.7,87
900000,880,102.0,7.2,26
0,146599,115.0,4.5,2
0,188588,108.0,0.0,0
0,8447,118.0,6.3,17
38000000,10534,129.0,6.3,86
16000000,17414,88.0,5.1,59
0,13997,87.0,6.0,124
8169363,2086,90.0,6.1,190
0,61548,91.0,6.7,3
47000000,9095,104.0,5.7,77
14000000,12158,100.0,4.5,113
0,9283,112.0,6.6,103
50000000,9208,108.0,5.7,459
0,40154,99.0,7.5,6
3000000,406,98.0,7.9,695
0,45549,105.0,5.6,13
0,63076,106.0,6.8,4
0,11062,111.0,6.0,67
7000000,13685,91.0,6.8,285
0,47475,96.0,3.3,16
18000000,2045,106.0,5.3,22
12000000,9614,92.0,6.5,767
24000000,688,135.0,7.3,397
0,11907,104.0,5.1,5
0,10874,100.0,6.5,93
0,89333,95.0,7.0,2
0,96357,110.0,0.0,0
72000000,197,177.0,7.7,3404
1300000,103,114.0,8.1,2632
7500000,33542,91.0,6.5,245
35000000,43566,108.0,5.8,37
0,71754,114.0,7.5,2
13365000,43612,106.0,7.0,23
0,51352,117.0,7.3,4
0,16934,99.0,6.9,19
0,10324,92.0,5.4,11
25000000,78406,113.0,5.1,7
0,55731,100.0,5.2,21
0,32119,90.0,7.0,7
40000000,11066,117.0,5.4,139
0,11104,102.0,7.9,249
0,37975,113.0,6.8,29
7000000,2074,92.0,6.3,66
17000000,27793,95.0,4.4,105
0,44284,116.0,4.3,3
0,290157,87.0,0.0,0
0,110972,95.0,7.0,2
0,32622,99.0,5.6,9
0,73067,101.0,5.4,4
50000000,11863,95.0,5.1,45
0,55475,102.0,5.5,1
0,124636,87.0,0.0,0
0,9101,92.0,5.6,110
0,123360,97.0,6.5,2
0,5757,86.0,3.8,2
0,39428,91.0,7.2,5
0,124639,122.0,0.0,0
60000000,9302,119.0,5.9,51
31000000,11000,117.0,6.7,303
0,249882,125.0,7.0,2
0,16388,98.0,6.3,23
19000000,9737,118.0,6.5,1729
0,30765,81.0,5.0,31
0,10474,102.0,7.2,472
4000000,22279,113.0,6.0,11
0,30157,105.0,6.5,21
52000000,568,140.0,7.3,1637
28000000,11780,139.0,6.5,151
0,34996,82.0,6.4,46
100000000,414,121.0,5.2,1529
0,649,101.0,7.3,163
0,1873,100.0,6.4,21
2000000,5894,83.0,6.8,28
11000000,1775,91.0,5.9,57
50000000,8839,100.0,6.0,1045
25000000,20649,128.0,6.8,69
50000000,10329,109.0,5.0,214
53000000,8963,116.0,7.0,508
0,26564,119.0,7.6,71
7000000,8068,104.0,6.8,898
27000000,8512,102.0,6.3,88
90000000,1572,128.0,6.9,2094
0,13552,80.0,5.6,57
0,259209,116.0,0.0,0
55000000,6520,134.0,5.9,319
0,9073,95.0,5.5,130
20000000,10428,107.0,6.2,406
0,17447,92.0,6.5,19
25000000,9886,97.0,5.5,380
90000000,9482,96.0,5.4,643
0,19326,88.0,4.0,34
1500000,9344,91.0,6.8,280
500000,9071,89.0,7.2,64
0,8973,119.0,5.9,87
0,15730,100.0,7.0,7
0,47608,95.0,5.5,27
6000000,2293,94.0,6.8,400
15000000,9070,92.0,5.2,153
0,68274,100.0,5.6,10
2,48787,95.0,6.4,36
0,34574,93.0,5.9,12
22000000,1642,114.0,5.6,359
0,11472,103.0,5.5,171
150000,36196,94.0,5.8,14
