budget,id,original_title,runtime,title,vote_average,vote_count
30000000,862,Toy Story,81,Toy Story,7.7,5415
65000000,8844,Jumanji,104,Jumanji,6.9,2413
0,15602,Grumpier Old Men,101,Grumpier Old Men,6.5,92
16000000,31357,Waiting to Exhale,127,Waiting to Exhale,6.1,34
0,11862,Father of the Bride Part II,106,Father of the Bride Part II,5.7,173
60000000,949,Heat,170,Heat,7.7,1886
58000000,11860,Sabrina,127,Sabrina,6.2,141
0,45325,Tom and Huck,97,Tom and Huck,5.4,45
35000000,9091,Sudden Death,106,Sudden Death,5.5,174
58000000,710,GoldenEye,130,GoldenEye,6.6,1194
62000000,9087,The American President,106,The American President,6.5,199
0,12110,Dracula: Dead and Loving It,88,Dracula: Dead and Loving It,5.7,210
0,21032,Balto,78,Balto,7.1,423
44000000,10858,Nixon,192,Nixon,7.1,72
98000000,1408,Cutthroat Island,119,Cutthroat Island,5.7,137
52000000,524,Casino,178,Casino,7.8,1343
16500000,4584,Sense and Sensibility,136,Sense and Sensibility,7.2,364
4000000,5,Four Rooms,98,Four Rooms,6.5,539
30000000,9273,Ace Ventura: When Nature Calls,90,Ace Ventura: When Nature Calls,6.1,1128
60000000,11517,Money Train,103,Money Train,5.4,224
30250000,8012,Get Shorty,105,Get Shorty,6.4,305
0,1710,Copycat,124,Copycat,6.5,199
50000000,9691,Assassins,132,Assassins,6,394
0,12665,Powder,111,Powder,6.3,143
3600000,451,Leaving Las Vegas,112,Leaving Las Vegas,7.1,365
0,16420,Othello,123,Othello,7,33
12000000,9263,Now and Then,100,Now and Then,6.6,91
0,17015,Persuasion,104,Persuasion,7.4,36
18000000,902,La Cité des Enfants Perdus,108,The City of Lost Children,7.6,308
0,37557,摇啊摇，摇到外婆桥,108,Shanghai Triad,6.5,17
0,9909,Dangerous Minds,99,Dangerous Minds,6.4,249
29500000,63,Twelve Monkeys,129,Twelve Monkeys,7.4,2470
0,78802,"Guillaumet, les ailes du courage",50,Wings of Courage,6.8,4
30000000,9598,Babe,89,Babe,6,756
0,47018,Carrington,121,Carrington,6.4,16
11000000,687,Dead Man Walking,122,Dead Man Walking,7.3,350
0,139405,Across the Sea of Time,51,Across the Sea of Time,3.5,2
0,33689,It Takes Two,101,It Takes Two,6.1,149
12000000,9603,Clueless,97,Clueless,6.9,828
0,34615,"Cry, the Beloved Country",106,"Cry, the Beloved Country",6.7,13
0,31174,Richard III,104,Richard III,6.9,50
10000000,11443,Dead Presidents,119,Dead Presidents,6.6,80
19000000,35196,Restoration,117,Restoration,6.3,30
18000000,9312,Mortal Kombat,101,Mortal Kombat,5.4,452
20000000,577,To Die For,106,To Die For,6.7,177
10000000,11861,How To Make An American Quilt,116,How To Make An American Quilt,6.5,38
33000000,807,Se7en,127,Se7en,8.1,5915
55000000,10530,Pocahontas,81,Pocahontas,6.7,1509
0,8391,When Night Is Falling,96,When Night Is Falling,5.9,10
6000000,629,The Usual Suspects,106,The Usual Suspects,8.1,3334
0,117164,Guardian Angel,93,Guardian Angel,6.3,3
15000000,11448,Mighty Aphrodite,95,Mighty Aphrodite,6.7,145
0,49133,Lamerica,116,Lamerica,7.7,11
0,26441,The Big Green,100,The Big Green,5.2,41
0,97406,Georgia,115,Georgia,6.1,15
0,124057,Kids of the Round Table,89,Kids of the Round Table,3,1
